Z_PK,LATITUDE,LONGITUDE
573,49.712763,24.975012
574,49.463384,24.255365
575,49.75789,23.841
576,48.153513,23.140926
577,49.298604,25.696234
578,49.197452,24.260517
581,49.282083,23.085489
582,49.933013,24.516454
583,49.728837,23.12626
584,49.949338,23.959819
585,48.551228,22.985132
586,49.768161,23.195939
587,49.30845,23.50909
588,49.707975,24.345094
589,50.146227,23.723575
590,49.6972,23.22664
591,49.801143,23.196785
592,49.292033,24.072502
595,49.838015,23.868377
596,49.844462,23.938201
597,49.759514,24.126358
598,49.979764,24.07643
599,49.013686,23.156822
600,49.856801,23.633681
601,49.810513,23.998134
602,49.917298,23.968366
603,49.911662,24.03751
604,49.733461,24.073489
605,49.856756,24.560728
606,49.241634,22.979884
607,49.83848,23.637061
609,49.839842,23.995222
611,49.174234,23.730758
612,49.284051,23.439009
613,49.710507,23.9114
614,49.12693,23.876202
615,49.634268,22.825615
616,49.672975,23.914369
619,49.657693,24.771196
620,49.216026,24.268823
621,49.985959,24.661194
622,49.752871,24.291807
623,49.976849,24.090844
624,49.774631,24.159992
625,49.864473,23.253093
626,49.394678,23.228581
627,49.802942,23.224824
628,49.831127,23.945704
631,50.119514,25.07597
632,48.916099,22.96949
633,49.969041,24.500642
634,49.321752,24.103049
635,49.619543,23.869671
636,49.847064,24.12839
637,50.057108,24.795502
638,49.86173,24.01858
639,49.202479,23.234387
640,49.766537,24.423251
641,49.890207,23.949798
644,49.90936,23.422576
645,49.479144,23.095289
646,49.743458,24.147289
647,48.376929,22.353804
648,49.854929,24.044531
649,49.520587,23.070943
650,50.196493,27.065914
651,49.580248,23.668958
652,50.038929,23.950376
653,49.871082,24.198685
655,49.795147,24.213133
657,49.78077,24.090172
658,49.210506,22.906041
659,50.232743,24.374283
660,49.81443,24.075333
661,49.78803,23.705065
662,49.786955,23.382814
663,49.862381,24.060769
664,49.733433,23.842277
665,48.387756,22.566007
666,51.017883,31.888738
667,49.387414,23.55305
668,49.910581,23.74051
670,49.799644,23.285956
672,48.725936,37.543148
673,49.747141,24.156326
674,49.846245,23.985382
675,49.834958,23.204104
676,49.201985,23.503437
677,49.544842,23.687391
678,49.827363,23.132987
681,50.031065,24.139644
682,49.149665,23.69505
683,49.516365,22.709496
684,49.729313,23.611368
685,49.269315,23.398479000000002
686,50.037524,23.427327
687,47.319157,32.470183
688,49.651391,24.020605
689,49.833771,23.985237
692,49.509864,23.169541
693,49.872364,24.043549
694,49.596166,23.009431
695,49.200902,23.047609
696,49.192305,24.201793
699,49.582899,24.398269
700,49.520051,23.215498
701,50.310014,24.200939
702,49.230784,23.816699
703,49.824303,23.956087
704,49.385991,24.097997
705,49.710933,24.000483
706,49.713811,24.29021
707,49.797021,23.767624
708,49.908442,23.931085
710,49.635368,24.354786
711,50.088123,23.756416
713,49.397972,22.873171
714,50.396849,24.229353
715,49.03797,23.513057
716,50.165785,24.095532
717,49.905583,25.322021
719,49.765724,23.83666
721,49.516307,23.211063
722,49.809307,23.844666
723,49.313309,23.452036
724,49.170941,22.852807
725,50.125135,23.782121
726,49.213153,23.858228
727,49.358523,24.170512
728,49.811243,23.893072
729,49.87387,24.110364
732,49.381743,23.638179
733,49.702152,24.228895
734,50.096924,23.900266
735,49.926225,24.493202
736,49.996561,24.216553
737,49.847736,24.001448
738,49.810466,23.94563
739,47.845602,30.269734
740,49.844507,23.972259
741,49.431061,24.046352
742,49.817435,24.003097
743,49.80398,23.893614
744,49.737049,23.651948
745,49.872481,24.050791
746,49.465586,24.031028
747,49.99379,24.234523
750,49.856074,24.021731
751,49.627589,23.135617
752,49.087764,22.986164
753,49.870902,23.833413
756,50.468669,24.275376
757,49.541675,24.54223
758,49.810447,24.340044
759,49.353509,23.508909
760,49.300492,24.27829
761,49.59112,22.989677
762,49.85603,25.011577
763,49.29598,23.399924
764,49.988083,24.36693
767,49.019941,23.000677
768,49.758483,23.950244
769,49.836894,24.034829
770,49.483148,23.107036
771,49.495325,22.754927
772,49.779641,24.159856
773,50.029184,24.514667
774,48.559764,23.028291
775,49.255402,23.961058
776,49.735372,23.169984
777,49.397407,24.337334
780,49.819352,23.987795
781,49.706479,24.054178
783,49.789215,24.336289999999998
784,49.911562,23.393506
785,49.707721,23.039198
786,49.031823,23.50561
787,49.810268,23.953054
788,49.249616,23.351028
789,50.136382,23.767352
790,49.876558,24.090196
791,49.799609,24.047703
794,49.722825,23.717839
795,49.662976,24.817644
796,50.220934,23.662269
797,49.470257,24.148341
798,49.260095,24.077177
799,49.36737,23.613171
800,49.769776,23.641657
801,49.809898,24.419406
804,49.554283,24.188713
805,49.479869,24.236991
808,49.452717,23.013912
809,49.635766,23.731791
810,49.628702,25.418969
811,49.033914,23.031596
814,49.818337,23.976164
815,49.332252,23.004045
816,49.286851,22.854769
817,49.78875,24.058643
818,50.226458,23.623814
819,50.259482,24.892166
820,49.784503,23.588445
821,49.756973,25.023836
824,49.523432,23.888487
825,49.794804,24.044484
826,49.272459,23.870975
827,49.15237,23.217316
828,49.480243,24.354701
829,49.034492,28.111567
830,49.823612,24.136928
833,49.842799,24.034893
834,50.339558,24.207935
835,50.191245,24.389268
836,49.92798,24.364272
837,49.641935,23.458068
838,49.558975,24.215078
839,49.734434,24.015417
840,49.975482,24.60257
841,49.522134,22.90524
842,49.640703,24.623541
843,50.124024,23.828669
844,49.785307,23.953807
845,49.584456,24.081207
848,50.04721,23.279957
849,50.009354,24.12594
850,49.838445,25.231521
851,49.728219,23.333151
852,49.787884,24.075239
855,49.641405,22.81938
856,49.791266,24.067461
857,49.47799,23.285658
858,50.027574,23.42694
859,48.919841,23.307483
860,49.323894,23.902738
861,49.792228,23.146878
862,50.073636,23.347566
863,49.698043,23.736644
864,50.352016,23.721969
865,49.83848,24.055557
868,49.592817,24.6217
869,49.264381,22.98857
870,49.822428,24.52222
871,49.976104,23.193875
872,49.176844,24.046769
873,49.888729,24.94785
